iso3,area_scope,area_level,calendar_quarter_t2,calendar_quarter_t3,calendar_quarter_t1,survey_prevalence,survey_art_coverage,survey_recently_infected,use_survey_aggregate,include_art_t1,include_art_t2,artattend,artattend_t2,anc_clients_year2,anc_clients_year2_num_months,anc_prevalence_year1,anc_prevalence_year2,anc_art_coverage_year1,anc_art_coverage_year2,spectrum_population_calibration,output_aware_plhiv,max_iterations,no_of_samples,rng_seed,permissive,artattend_log_gamma_offset,use_kish_prev,deff_prev,use_kish_artcov,deff_artcov,use_kish_recent,deff_recent,spectrum_plhiv_calibration_level,spectrum_plhiv_calibration_strat,spectrum_artnum_calibration_level,spectrum_artnum_calibration_strat,spectrum_aware_calibration_level,spectrum_aware_calibration_strat,spectrum_infections_calibration_level,spectrum_infections_calibration_strat,calibrate_method,deff_vls,use_kish_vls,rho_paed_x_term,rho_paed_15to49f_ratio,alpha_xst_term,adjust_area_growth
AGO,AGO,1,CY2020Q4,CY2021Q3,CY2015Q4,AGO2015DHS,"","",false,false,false,false,false,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
BDI,BDI,2,CY2020Q4,CY2021Q3,CY2016Q4,BDI2016DHS,"","",false,false,true,true,false,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
BEN,BEN,2,CY2020Q4,CY2021Q3,CY2012Q1,BEN2012DHS,"","",true,false,true,true,false,2020,12,2016,2020,2016,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
BFA,BFA,2,CY2020Q4,CY2021Q3,CY2010Q3,BFA2010DHS,"","",false,false,true,true,false,2020,12,2016,2020,2016,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
BWA,BWA,3,CY2020Q4,CY2021Q3,CY2013Q1,BWA2013BAIS,BWA2013BAIS,"",false,false,true,true,false,2020,12,2020,2020,2020,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
CAF,CAF,3,CY2020Q4,CY2021Q3,CY2010Q4,CAF2010MICS,"","",true,false,true,true,false,2020,12,2019,2020,2019,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
CMR,CMR,3,CY2020Q4,CY2021Q3,CY2017Q3,CMR2018DHS CMR2017PHIA,CMR2017PHIA,"",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
COD,COD,3,CY2020Q4,CY2021Q3,CY2013Q4,COD2013DHS,"","",false,false,true,true,false,2020,12,2019,2020,2019,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
COG,COG,2,CY2020Q4,CY2021Q3,CY2009Q2,COG2009AIS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
ETH,ETH,2,CY2020Q3,CY2021Q3,CY2016Q1,ETH2016DHS,"","",false,false,true,true,false,2020,9,2018,2020,2018,2020,subnational,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
GAB,GAB,1,CY2020Q4,CY2021Q3,CY2012Q1,GAB2012DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
GHA,GHA,2,CY2020Q4,CY2021Q3,CY2014Q4,GHA2014DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
GIN,GIN,2,CY2020Q4,CY2021Q3,CY2018Q2,GIN2018DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
GMB,GMB,2,CY2020Q4,CY2021Q3,CY2013Q1,GMB2013DHS,"","",true,false,true,true,false,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
KEN,KEN,2,CY2020Q4,CY2021Q3,CY2018Q4,KEN2018PHIA,KEN2018PHIA,"",false,true,true,true,true,2020,12,2019,2020,2019,2020,subnational,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
LBR,LBR,1,CY2020Q4,CY2021Q3,CY2013Q2,LBR2013DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
LSO,LSO,2,CY2020Q4,CY2021Q3,CY2017Q4,LSO2017PHIA,LSO2017PHIA,"",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
MLI,MLI,1,CY2020Q4,CY2021Q3,CY2013Q1,MLI2012DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
MOZ,MOZ,2,CY2020Q4,CY2021Q3,CY2015Q3,MOZ2015AIS,MOZ2015AIS,"",false,true,true,true,true,2020,12,2017,2020,2017,2020,subnational,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
MWI,MWI,5,CY2020Q3,CY2021Q3,CY2016Q1,MWI2016PHIA,MWI2016PHIA,"",false,true,true,true,true,2020,12,2016,2020,2016,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
NAM,NAM,2,CY2020Q4,CY2021Q3,CY2017Q3,NAM2017PHIA,NAM2017PHIA,"",false,true,true,true,true,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
NER,NER,1,CY2020Q4,CY2021Q3,CY2012Q2,NER2012DHS,"","",false,false,true,true,false,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
RWA,RWA,2,CY2020Q4,CY2021Q3,CY2018Q4,RWA2018PHIA,RWA2018PHIA,"",false,true,true,true,true,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
SEN,SEN,2,CY2020Q4,CY2021Q3,CY2017Q3,SEN2017DHS,"","",true,false,true,true,false,2020,12,2020,2020,2020,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
SLE,SLE,2,CY2020Q4,CY2021Q3,CY2019Q2,SLE2019DHS,"","",false,true,true,true,true,2020,12,2019,2020,2019,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
STP,STP,1,CY2020Q4,CY2021Q3,CY2014Q4,STP2014MICS,"","",true,false,true,true,false,"",12,"","","","",national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
TCD,TCD,1,CY2020Q4,CY2021Q3,CY2015Q1,TCD2014DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
TGO,TGO,2,CY2020Q4,CY2021Q3,CY2014Q1,TGO2013DHS,"","",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
TZA,TZA,3,CY2020Q3,CY2021Q3,CY2017Q1,TZA2017PHIA,TZA2017PHIA,"",false,false,true,true,false,2020,9,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,national,sex_age_coarse,national,sex_age_coarse,national,sex_age_coarse,national,sex_age_coarse,logistic,1,true,false,true,false,false
UGA,UGA,3,CY2020Q4,CY2021Q3,CY2016Q4,UGA2017PHIA,UGA2017PHIA,"",false,true,true,true,true,2020,12,2016,2020,2016,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
ZMB,ZMB,2,CY2020Q4,CY2021Q3,CY2016Q2,ZMB2018DHS,ZMB2016PHIA,"",false,false,true,true,false,2020,12,2018,2020,2018,2020,national,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
ZWE,ZWE,2,CY2020Q4,CY2021Q3,CY2019Q3,ZWE2020PHIA,ZWE2020PHIA,"",false,true,true,true,true,2020,12,2017,2020,2017,2020,subnational,true,250,1000,1000,true,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
NGA,NGA,2,CY2020Q4,CY2021Q3,CY2018Q4,NGA2017AKIS,NGA2018NAIS,"",false,true,true,true,true,2019,12,2018,2019,2018,2019,subnational,true,250,1000,1000,false,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
SWZ,SWZ,1,CY2020Q4,CY2021Q3,CY2016Q4,SWZ2016PHIA,SWZ2016PHIA,"",false,true,true,true,true,2020,12,2016,2020,2016,2020,national,true,250,1000,1000,false,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,"",1,true,false,true,false,false
CIV,CIV,2,CY2020Q4,CY2021Q3,CY2017Q4,CIV2017PHIA,CIV2017PHIA,"",false,true,true,true,true,2020,12,2017,2020,2017,2020,national,true,250,1000,1000,false,-4,true,1,true,1,true,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,true,false,true,false,false
